Classifier,85-dim Acc,14-dim Acc,85-dim AUC,14-dim AUC,Acc Gap (%),AUC Gap
Linear SVM,0.9340659340659341,0.7582417582417582,0.9880087209302326,0.8259447674418604,17.582417582417587,0.16206395348837221
Logistic Regression,0.9340659340659341,0.7582417582417582,0.985828488372093,0.8312742248062014,17.582417582417587,0.15455426356589164
RBF SVM,0.9945054945054945,0.8681318681318682,1.0,0.9618459302325582,12.637362637362637,0.038154069767441845
