Feature,Coefficient,Abs_Coefficient
Feature_63,1.2817007130187643,1.2817007130187643
mask_frac,1.210074585792949,1.210074585792949
Feature_38,-1.1570660565755777,1.1570660565755777
Feature_29,1.120816293093803,1.120816293093803
Feature_76,-1.1165472791137387,1.1165472791137387
Feature_78,1.093202729909395,1.093202729909395
entropy,0.971455904479788,0.971455904479788
Feature_25,0.9708437925049996,0.9708437925049996
Feature_33,-0.9548137694034525,0.9548137694034525
Feature_51,-0.9315043548788962,0.9315043548788962
Feature_45,-0.896293527857894,0.896293527857894
Feature_43,-0.8639415966928128,0.8639415966928128
Feature_42,-0.7955699545249901,0.7955699545249901
Feature_36,-0.7648936967383134,0.7648936967383134
Feature_65,0.7180509482123076,0.7180509482123076
Feature_39,-0.7085167322398699,0.7085167322398699
Feature_22,-0.656794663539558,0.656794663539558
Feature_34,-0.6330029558976641,0.6330029558976641
Feature_30,-0.6088882861479566,0.6088882861479566
HU_p90,-0.5913748865021607,0.5913748865021607
Feature_71,0.5838936088185009,0.5838936088185009
Feature_27,0.5568279996297493,0.5568279996297493
Feature_75,-0.5521294954282887,0.5521294954282887
Feature_79,0.5487299481930065,0.5487299481930065
Feature_58,0.5312489152663024,0.5312489152663024
Feature_55,0.47413574268432773,0.47413574268432773
mean_HU,0.47272068223591196,0.47272068223591196
HU_p10,0.4569512166008411,0.4569512166008411
Feature_26,-0.4485028583516692,0.4485028583516692
Feature_72,-0.4440492330655535,0.4440492330655535
grad_std,0.4283188883910442,0.4283188883910442
homog,0.3951113601194515,0.3951113601194515
Feature_77,-0.3924226101052671,0.3924226101052671
Feature_31,-0.3914363386573575,0.3914363386573575
HU_std,0.38299865660884624,0.38299865660884624
mask_area,0.3803342599580172,0.3803342599580172
Feature_52,0.3749326756242612,0.3749326756242612
Feature_54,0.3745369502537772,0.3745369502537772
Feature_83,0.3744316630237058,0.3744316630237058
HU_p75,0.365245841495525,0.365245841495525
Feature_47,-0.3652300920004609,0.3652300920004609
Feature_84,0.3502517159886287,0.3502517159886287
Feature_74,-0.3453150926829641,0.3453150926829641
grad_mean,-0.33069036554343567,0.33069036554343567
Feature_59,0.3233310193863178,0.3233310193863178
Feature_68,-0.30830648880949274,0.30830648880949274
Feature_61,-0.28645566454529287,0.28645566454529287
Feature_82,-0.2849525333291328,0.2849525333291328
Feature_37,-0.2844249458389957,0.2844249458389957
Feature_46,-0.26041205678657225,0.26041205678657225
Feature_15,0.25165899151514454,0.25165899151514454
Feature_56,0.24292682016738004,0.24292682016738004
Feature_20,-0.24241039387372332,0.24241039387372332
Feature_62,0.24207427796405287,0.24207427796405287
Feature_69,0.22871521517011115,0.22871521517011115
Feature_44,-0.22119225575603327,0.22119225575603327
Feature_53,-0.20340474615371792,0.20340474615371792
Feature_80,0.2021123054163587,0.2021123054163587
Feature_50,0.19701995060727828,0.19701995060727828
Feature_21,-0.1942422274822655,0.1942422274822655
Feature_66,-0.19281999261938979,0.19281999261938979
Feature_32,-0.19239801135627194,0.19239801135627194
Feature_67,0.18717964110744625,0.18717964110744625
HU_p50,-0.18018002390201596,0.18018002390201596
contrast,0.15045503102140767,0.15045503102140767
Feature_73,-0.1433724412303128,0.1433724412303128
Feature_64,-0.13969823388093106,0.13969823388093106
Feature_14,0.1334088835513526,0.1334088835513526
Feature_41,-0.11661960664917405,0.11661960664917405
Feature_19,-0.11338888480741202,0.11338888480741202
Feature_40,-0.11028767295160428,0.11028767295160428
Feature_35,0.10679184990942318,0.10679184990942318
Feature_57,-0.10336770785583767,0.10336770785583767
Feature_24,0.09967371618544907,0.09967371618544907
Feature_49,0.08293323507907145,0.08293323507907145
Feature_17,-0.08189124104439871,0.08189124104439871
Feature_23,0.0789012650275343,0.0789012650275343
Feature_70,0.0768559818962393,0.0768559818962393
Feature_81,0.06203898062616344,0.06203898062616344
Feature_60,-0.04816903905528115,0.04816903905528115
Feature_18,-0.03415155210576766,0.03415155210576766
HU_p25,0.03205002948331032,0.03205002948331032
Feature_48,-0.0319960743946545,0.0319960743946545
Feature_16,-0.014824240834455655,0.014824240834455655
Feature_28,0.010305640131957942,0.010305640131957942
