Feature,Coefficient,Abs_Coefficient
Feature_49,-2.7658710877366173,2.7658710877366173
Feature_70,2.0920676201223167,2.0920676201223167
mask_area,-1.9588410242376724,1.9588410242376724
Feature_40,-1.7855599809081697,1.7855599809081697
Feature_32,1.7072744671731717,1.7072744671731717
Feature_33,1.6896620556337074,1.6896620556337074
mask_frac,1.6471359205185376,1.6471359205185376
Feature_71,1.632605084703441,1.632605084703441
Feature_61,1.5115136760971657,1.5115136760971657
Feature_66,-1.4998607412641987,1.4998607412641987
Feature_45,1.4865556069592947,1.4865556069592947
Feature_25,-1.412009494562228,1.412009494562228
Feature_83,1.3993415622528271,1.3993415622528271
Feature_18,1.3770927410099072,1.3770927410099072
Feature_17,1.335104394829304,1.335104394829304
Feature_28,-1.2858434772887504,1.2858434772887504
Feature_58,1.2054383434442575,1.2054383434442575
Feature_74,1.2044928562745532,1.2044928562745532
Feature_43,1.186828300302121,1.186828300302121
Feature_27,-1.1498408680930567,1.1498408680930567
Feature_51,-1.0635139101782842,1.0635139101782842
Feature_34,1.027105481687903,1.027105481687903
Feature_84,1.011555540298673,1.011555540298673
Feature_14,-0.9748844206645578,0.9748844206645578
Feature_72,-0.9526921697954628,0.9526921697954628
Feature_69,0.943325166785203,0.943325166785203
Feature_35,-0.9325762989417881,0.9325762989417881
Feature_57,0.9291369377744536,0.9291369377744536
Feature_15,0.9126205901273784,0.9126205901273784
HU_p25,0.8787102261971238,0.8787102261971238
Feature_19,0.8406165043609665,0.8406165043609665
Feature_67,-0.8261967475951592,0.8261967475951592
Feature_82,-0.814078024403315,0.814078024403315
HU_std,0.8098311866307957,0.8098311866307957
Feature_77,0.8080065681280802,0.8080065681280802
HU_p10,-0.8032628120502621,0.8032628120502621
Feature_59,0.7727604020006102,0.7727604020006102
Feature_76,0.7491406460596887,0.7491406460596887
Feature_37,-0.7325068104686763,0.7325068104686763
homog,0.7027462471591791,0.7027462471591791
Feature_80,0.6761480802005878,0.6761480802005878
Feature_30,0.6529271340140262,0.6529271340140262
Feature_22,0.6100941078440861,0.6100941078440861
HU_p90,-0.5804189233970692,0.5804189233970692
HU_p75,-0.5745533399022105,0.5745533399022105
grad_mean,0.568692718267671,0.568692718267671
Feature_48,-0.5520360694612054,0.5520360694612054
Feature_54,-0.5228752334272037,0.5228752334272037
Feature_56,-0.5036303604648735,0.5036303604648735
Feature_44,-0.4987648005567107,0.4987648005567107
Feature_73,-0.4772862985872589,0.4772862985872589
Feature_24,0.46590852485672857,0.46590852485672857
Feature_68,-0.4598301869851612,0.4598301869851612
Feature_23,0.434384021156452,0.434384021156452
Feature_55,0.4318773910815614,0.4318773910815614
Feature_64,0.4265524390044068,0.4265524390044068
Feature_75,0.39506481413849653,0.39506481413849653
Feature_38,0.3933444680311461,0.3933444680311461
Feature_41,-0.3931988590321035,0.3931988590321035
Feature_78,-0.38224875495262584,0.38224875495262584
Feature_20,0.3730498741496679,0.3730498741496679
Feature_79,-0.3430792671602807,0.3430792671602807
Feature_53,0.33724413628895705,0.33724413628895705
Feature_39,0.3172887234290744,0.3172887234290744
Feature_52,-0.29068751251007463,0.29068751251007463
HU_p50,0.2729943194244515,0.2729943194244515
Feature_16,0.2513930959652937,0.2513930959652937
Feature_63,-0.24268180223299032,0.24268180223299032
Feature_42,0.15869871708414685,0.15869871708414685
Feature_21,-0.1037013711302494,0.1037013711302494
Feature_26,0.1025714762327302,0.1025714762327302
Feature_36,-0.10057190326565119,0.10057190326565119
Feature_62,-0.10038416887255193,0.10038416887255193
entropy,-0.09571432388580989,0.09571432388580989
Feature_47,-0.09546677169127964,0.09546677169127964
Feature_50,-0.08641420889543737,0.08641420889543737
mean_HU,-0.07425530193921714,0.07425530193921714
Feature_60,0.06189978360105458,0.06189978360105458
Feature_29,0.06178010879529796,0.06178010879529796
grad_std,0.057941807280392325,0.057941807280392325
Feature_31,-0.05388418529277616,0.05388418529277616
contrast,0.043506241146849076,0.043506241146849076
Feature_46,0.02701678539065973,0.02701678539065973
Feature_81,0.0183117385879178,0.0183117385879178
Feature_65,0.012730391170587156,0.012730391170587156
