feature,overlap_coef,cohens_d
Feature_25,0.8819045062936143,0.16437262769045774
mask_frac,0.8664361987574796,0.10923334240706706
Feature_71,0.8590610608109961,0.26274629130106564
Feature_17,0.8468012787744706,0.04745413941934733
Feature_45,0.8408977814513063,0.09761059625950043
Feature_33,0.8405734029585908,0.3216792056211086
Feature_32,0.82859758082273,0.249093270146145
Feature_83,0.8263049928458296,0.12179879837372763
Feature_40,0.7984903357749003,0.5151881586112597
Feature_66,0.7970682533757384,0.5092403693433563
Feature_18,0.7696044308057315,0.4091194337517224
grad_std,0.7627856689481972,0.4797109619933832
Feature_49,0.7380443811033581,0.4633943830472559
Feature_70,0.7149386098508352,0.2998569020978989
Feature_61,0.6676878909398719,0.7462990576884868
