Classifier,85-dim Acc,14-dim Acc,85-dim AUC,14-dim AUC,Acc Gap (%),AUC Gap
Linear SVM,0.6194029850746269,0.6492537313432836,0.6597890932494986,0.7143723543827513,-2.985074626865669,-0.054583261133252625
Logistic Regression,0.6343283582089553,0.6405472636815921,0.6678589994306507,0.7066490085897467,-0.6218905472636815,-0.03879000915909592
RBF SVM,0.6567164179104478,0.6442786069651741,0.673178082530881,0.6700404733024728,1.243781094527363,0.0031376092284081114
