feature,overlap_coef,cohens_d
Feature_54,0.9301098563342051,0.052324676787362905
Feature_47,0.9211755072960325,0.0384590936373866
Feature_77,0.9168368406996824,0.011800257894455329
Feature_48,0.9148196408738771,0.03612501498520258
Feature_14,0.9045266696250481,0.2641466723357695
Feature_25,0.9044696658594844,0.1070587843443609
Feature_72,0.8965982116947442,0.13429163067990443
Feature_40,0.842725077104165,0.441036788635789
Feature_73,0.8268600153674591,0.41819976130814224
HU_std,0.812120613417747,0.4393376847117515
Feature_42,0.8104751495128837,0.3641390679301573
Feature_84,0.7771960855776421,0.4986628859574781
Feature_29,0.7360898688430845,0.5234938951404778
Feature_71,0.7161612851881504,0.6662861684598138
Feature_68,0.7073590439197159,0.666281591720921
