Feature,Coefficient,Abs_Coefficient
Feature_18,2.372805783506486,2.372805783506486
Feature_66,2.154609812452738,2.154609812452738
Feature_51,-1.988004249137278,1.988004249137278
Feature_15,-1.964223323011208,1.964223323011208
Feature_71,-1.8530328260275613,1.8530328260275613
entropy,1.7199988243981146,1.7199988243981146
Feature_26,1.5656707339488178,1.5656707339488178
mask_frac,-1.5334476588593011,1.5334476588593011
Feature_61,1.5166181875856601,1.5166181875856601
HU_p75,1.489333391743423,1.489333391743423
HU_p50,1.4688499427175405,1.4688499427175405
HU_p10,-1.4542936028389017,1.4542936028389017
Feature_77,-1.4030948290088794,1.4030948290088794
Feature_42,1.3917750664645367,1.3917750664645367
Feature_23,-1.2669211462942185,1.2669211462942185
HU_p90,1.2509983732480576,1.2509983732480576
Feature_32,-1.2427616637280465,1.2427616637280465
Feature_21,-1.2248748820863418,1.2248748820863418
Feature_14,1.194981282922519,1.194981282922519
homog,-1.1898881852631527,1.1898881852631527
Feature_19,1.1869196186899702,1.1869196186899702
Feature_82,-1.1715637324879775,1.1715637324879775
Feature_75,-1.1713562424360957,1.1713562424360957
Feature_36,-1.138508726496422,1.138508726496422
Feature_17,-1.0674515706733732,1.0674515706733732
Feature_63,1.051393783063446,1.051393783063446
Feature_28,-1.0390557146571042,1.0390557146571042
Feature_58,1.0078405500197283,1.0078405500197283
Feature_76,0.971590392585477,0.971590392585477
Feature_73,-0.9263767409186242,0.9263767409186242
Feature_54,0.8658559147248528,0.8658559147248528
Feature_39,0.8568155262654916,0.8568155262654916
Feature_67,0.8373585701151786,0.8373585701151786
mean_HU,-0.831819900822962,0.831819900822962
Feature_57,-0.7975476320502631,0.7975476320502631
Feature_24,-0.7943222656159307,0.7943222656159307
Feature_64,0.7466666216137635,0.7466666216137635
Feature_35,0.7435303232516608,0.7435303232516608
Feature_53,0.7428234139710761,0.7428234139710761
grad_mean,-0.7316697613113103,0.7316697613113103
Feature_40,-0.7005358969407501,0.7005358969407501
Feature_56,-0.6743705519909706,0.6743705519909706
Feature_43,0.6502372489345909,0.6502372489345909
Feature_49,-0.6454675483521607,0.6454675483521607
Feature_78,0.629401371040751,0.629401371040751
Feature_20,-0.5978466716184935,0.5978466716184935
Feature_34,0.5966910812444555,0.5966910812444555
HU_p25,-0.5930748150058995,0.5930748150058995
Feature_41,-0.5792481592369924,0.5792481592369924
Feature_38,0.5611098895278827,0.5611098895278827
Feature_83,0.5454287589749879,0.5454287589749879
Feature_80,0.5206812924395131,0.5206812924395131
Feature_16,-0.4992441786176161,0.4992441786176161
Feature_74,0.46954313837613776,0.46954313837613776
Feature_79,0.4368602903091389,0.4368602903091389
Feature_60,-0.43179613786567167,0.43179613786567167
Feature_55,-0.4265643782902772,0.4265643782902772
Feature_68,0.4251294260444692,0.4251294260444692
mask_area,0.4103132878533915,0.4103132878533915
Feature_25,-0.40522237803074146,0.40522237803074146
Feature_81,-0.40308716448089305,0.40308716448089305
Feature_30,-0.3957892902955121,0.3957892902955121
Feature_84,-0.3908601607517537,0.3908601607517537
Feature_29,0.38140593891450425,0.38140593891450425
Feature_69,0.38140160139647394,0.38140160139647394
Feature_59,0.3769175043703074,0.3769175043703074
Feature_46,0.3748415215716054,0.3748415215716054
Feature_37,0.3312342197375626,0.3312342197375626
Feature_27,0.2880586975492253,0.2880586975492253
Feature_22,-0.2810879439077426,0.2810879439077426
HU_std,-0.23840383377866994,0.23840383377866994
Feature_31,-0.22282638716675118,0.22282638716675118
Feature_48,-0.2148227426924906,0.2148227426924906
Feature_45,-0.18646730224767485,0.18646730224767485
Feature_47,0.152553463458864,0.152553463458864
Feature_62,0.1439144489085697,0.1439144489085697
Feature_33,0.1334657601220625,0.1334657601220625
Feature_44,-0.12868510410242853,0.12868510410242853
Feature_52,-0.1041643090775991,0.1041643090775991
Feature_50,-0.10248630394653604,0.10248630394653604
Feature_70,-0.1005331158396344,0.1005331158396344
contrast,0.08424485255226755,0.08424485255226755
Feature_72,0.07099316522929826,0.07099316522929826
Feature_65,0.018190695305520765,0.018190695305520765
grad_std,0.016589221527745914,0.016589221527745914
