Classifier,85-dim Acc,14-dim Acc,85-dim AUC,14-dim AUC,Acc Gap (%),AUC Gap
Linear SVM,0.9010989010989011,0.6153846153846154,0.9767441860465117,0.7003391472868217,28.57142857142857,0.27640503875969
Logistic Regression,0.9010989010989011,0.6373626373626373,0.9778343023255813,0.6981589147286822,26.37362637362638,0.27967538759689914
RBF SVM,0.989010989010989,0.8461538461538461,0.9972141472868217,0.9206637596899225,14.28571428571429,0.07655038759689914
